dataset,algorithm,time
har,sharp,16.29409669000006
har,ssnp,12.727863032000187
har,tsne,190.16526332400008
har,umap,44.924204174000806
har,isomap,-1.0
har,aep,39.10985221900046
fashionmnist,sharp,16.604623200999413
fashionmnist,ssnp,12.724392689000524
fashionmnist,tsne,86.68987591800033
fashionmnist,umap,49.80093360899991
fashionmnist,isomap,-1.0
fashionmnist,aep,38.921415069999966
usps,sharp,14.954759135000131
usps,ssnp,11.887091858000531
usps,tsne,173.24511387499933
usps,umap,128.03599223900073
usps,isomap,-1.0
usps,aep,40.317295329000444
reuters,sharp,19.29701135599953
reuters,ssnp,15.714229522000096
reuters,tsne,-1.0
reuters,umap,130.24058664399945
reuters,isomap,-1.0
reuters,aep,47.14740374899975
mnist,sharp,17.640951882999616
mnist,ssnp,12.042690338000284
mnist,tsne,144.0074351179992
mnist,umap,105.38631733000057
mnist,isomap,-1.0
mnist,aep,40.57136643100057
