dataset,algorithm,time
har,sharp,3.9829817279969575
har,ssnp,4.214981062999868
har,tsne,8.889163518000714
har,umap,102.01840343100048
har,isomap,8.488818534999155
har,aep,8.277962111998932
fashionmnist,sharp,4.171105876001093
fashionmnist,ssnp,4.32111890500164
fashionmnist,tsne,8.459862534000422
fashionmnist,umap,100.03253247900284
fashionmnist,isomap,9.24468650199924
fashionmnist,aep,8.615514301000076
usps,sharp,4.066020362002746
usps,ssnp,4.175072731002729
usps,tsne,8.392941051999514
usps,umap,98.77715166299822
usps,isomap,9.296438361001492
usps,aep,9.088130680000177
reuters,sharp,4.909554263998871
reuters,ssnp,4.984309511000902
reuters,tsne,36.28548703500201
reuters,umap,101.78134792399942
reuters,isomap,30.48175307799829
reuters,aep,9.907829078001669
mnist,sharp,4.583923357000458
mnist,ssnp,4.532732184998167
mnist,tsne,10.55890359300247
mnist,umap,102.514383472997
mnist,isomap,9.795934441997815
mnist,aep,8.553448448998097
