dataset,algorithm,time
har,sharp,2.4054272339999443
har,ssnp,3.157771122001577
har,tsne,1.6031542609998723
har,umap,4.145065008000529
har,isomap,0.29819628599943826
har,aep,3.415608115003124
fashionmnist,sharp,2.3729954090013052
fashionmnist,ssnp,3.131023505000485
fashionmnist,tsne,1.453999458997714
fashionmnist,umap,4.191062444999261
fashionmnist,isomap,0.3191664859987213
fashionmnist,aep,3.4034217830012494
usps,sharp,2.325899800998741
usps,ssnp,3.0733207359990047
usps,tsne,1.4640414839996083
usps,umap,4.143097228999977
usps,isomap,0.4189067800034536
usps,aep,3.4492199970009096
reuters,sharp,2.4595623450004496
reuters,ssnp,3.2052157150028506
reuters,tsne,2.465107874999376
reuters,umap,4.606510352998157
reuters,isomap,0.5730511619985919
reuters,aep,3.6988621819982654
mnist,sharp,2.3160430469979474
mnist,ssnp,3.0820652469992638
mnist,tsne,1.52761256300073
mnist,umap,4.1622038560017245
mnist,isomap,0.425904105999507
mnist,aep,3.431822620997991
