dataset_name,test_name,T_train,C_train,R_train,S_train,N_train,MSE_train
mnist,SSNP-VAE,0.745987647109355,0.9087886607679753,0.28981719734171346,0.8955681495938729,0.9869333333333334,-99.0
mnist,SSNP-GT,0.8286647710677777,0.9242580877931449,0.3437043189156738,0.45363961641954575,0.9952,-99.0
mnist,SSNP-KMeans,0.8864818600922029,0.9095368668212925,0.27872842226895767,0.4002738334874349,0.7681333333333333,-99.0
mnist,SSNP-AG,0.861722389256364,0.9197760158062023,0.17452600883161726,0.4396643474815306,0.8123333333333334,-99.0
mnist,AE,0.9514737966383185,0.9214214414569195,-0.02251349297288125,3.0424841860866327,0.8152,-99.0
mnist,TSNE,0.9851763765999485,0.9721298399335682,0.4103736597182073,8.960688529452657,0.9446666666666667,-99.0
mnist,UMAP,0.9572924376485411,0.9739122755776995,0.3851058403838429,0.2359143585699471,0.9176,-99.0
mnist,NNP,0.948712997165192,0.9705386421555995,0.4108227488360874,0.9166274101462739,0.8914,-99.0
fashionmnist,SSNP-VAE,0.811116542106921,0.9058993786329925,0.45964408286543773,0.9108064322961305,0.9300666666666666,-99.0
fashionmnist,SSNP-GT,0.8744033445007589,0.91606138075194,0.35510610656117764,0.573378651443057,0.9726,-99.0
fashionmnist,SSNP-KMeans,0.9627049050768834,0.9778325115253558,0.7352833771160145,0.2534156807395759,0.7366,-99.0
fashionmnist,SSNP-AG,0.9490439652950777,0.9713964894195802,0.6753003700781047,0.34144058150774065,0.7512666666666666,-99.0
fashionmnist,AE,0.9703954814878447,0.976892563640008,0.5317064462897624,0.3710666176576265,0.7516,-99.0
fashionmnist,TSNE,0.9902396644045471,0.9871910946940412,0.6638282722586024,5.351140120422803,0.8430666666666667,-99.0
fashionmnist,UMAP,0.9810097929731123,0.9880534776508318,0.6421534079655413,0.1746428900460266,0.8035333333333333,-99.0
fashionmnist,NNP,0.9656967900810354,0.9865980184978381,0.6749022600724264,0.9245763617222895,0.7722666666666667,-99.0
har,SSNP-VAE,0.8308090083898864,0.8956503049566189,0.6291069004279924,0.8473423119969847,0.9904,-99.0
har,SSNP-GT,0.9034263322165907,0.9284745182258111,0.42446880816583854,0.5953031880947245,0.9964,-99.0
har,SSNP-KMeans,0.9367304469833634,0.95230957821493,0.5190754459119227,0.3693488159887392,0.8240666666666668,-99.0
har,SSNP-AG,0.9179135583999084,0.9610721931105575,0.48529220532864537,0.4797470953587404,0.8506666666666666,-99.0
har,AE,0.9547391804827764,0.9711039200526873,0.7486067903134159,0.47630364340783055,0.8524,-99.0
har,TSNE,0.9920476190476191,0.9853938149643502,0.5781148406588574,48.56045339176635,0.9685333333333334,-99.0
har,UMAP,0.9788276952151878,0.9886164304326661,0.769535695830672,3.6087367141093534,0.9346,-99.0
har,NNP,0.9676611803109698,0.984964453225668,0.6122384693189344,0.8460353684699057,0.9155333333333332,-99.0
reuters,SSNP-VAE,0.5637126306445609,0.7311705809924691,0.41177889558863684,0.7961947883986805,0.9826,-99.0
reuters,SSNP-GT,0.5862870543767718,0.7442794490736764,0.3345978701820175,0.27391412019199257,0.9786,-99.0
reuters,SSNP-KMeans,0.6402345903845603,0.8242845517280875,0.37197565361664264,0.7530735706252069,0.8005333333333333,-99.0
reuters,SSNP-AG,0.6119808092088308,0.7783046989090284,0.3410280431953027,0.6332884633513084,0.7563333333333333,-99.0
reuters,AE,0.6815135698536781,0.6869745039085989,0.028615916045320215,8.987221330455442,0.8413333333333333,-99.0
reuters,TSNE,0.7422299229733986,0.9118259599690748,0.020951228154071407,30.81581100696694,0.8458,-99.0
reuters,UMAP,0.662221836611975,0.8623307676889156,-0.10722471517337112,2.045088984390642,0.7588666666666666,-99.0
reuters,NNP,0.6886885548206053,0.9100962517538584,0.016905885057072766,0.8206176836005266,0.794,-99.0
