dataset,algorithm,time
har,sharp,17.324050880997675
har,ssnp,24.382817147001333
har,tsne,49.32039417699707
har,umap,22.94687447099568
har,isomap,35.424610524001764
har,aep,13.981926560001739
fashionmnist,sharp,17.69310631100234
fashionmnist,ssnp,24.63144253599603
fashionmnist,tsne,19.95424768099474
fashionmnist,umap,23.704251613999077
fashionmnist,isomap,39.91773706799722
fashionmnist,aep,14.079828111993265
usps,sharp,17.334349125005247
usps,ssnp,25.04538900800253
usps,tsne,37.00180382999679
usps,umap,22.284060605001287
usps,isomap,37.593529981000756
usps,aep,14.488383966003312
reuters,sharp,17.351283862000855
reuters,ssnp,23.337134284003696
reuters,tsne,168.5190763480059
reuters,umap,25.952780934996554
reuters,isomap,-1.0
reuters,aep,16.31018689800112
mnist,sharp,17.65947614099423
mnist,ssnp,24.625611362003838
mnist,tsne,26.295120213995688
mnist,umap,23.0176532100013
mnist,isomap,44.37873040699924
mnist,aep,14.373644806000812
