dataset,algorithm,time
har,sharp,74.43423301399889
har,ssnp,105.92790060800326
har,tsne,-1.0
har,umap,57.249151718002395
har,isomap,-1.0
har,aep,58.95523941300053
fashionmnist,sharp,82.33119703199918
fashionmnist,ssnp,118.80027549400256
fashionmnist,tsne,166.38148291799735
fashionmnist,umap,36.27395719099877
fashionmnist,isomap,-1.0
fashionmnist,aep,61.220624806999695
usps,sharp,80.47346610099339
usps,ssnp,115.50269053899683
usps,tsne,-1.0
usps,umap,57.64880988499499
usps,isomap,-1.0
usps,aep,61.92606208600046
reuters,sharp,71.82220504299767
reuters,ssnp,100.20691234100377
reuters,tsne,-1.0
reuters,umap,76.88823316499474
reuters,isomap,-1.0
reuters,aep,65.77466461400036
mnist,sharp,81.91867196599924
mnist,ssnp,116.2277284849988
mnist,tsne,280.8529986919966
mnist,umap,35.03390965300059
mnist,isomap,-1.0
mnist,aep,61.58860806199664
