dataset,algorithm,time
har,sharp,30.676819505999447
har,ssnp,145.98036176499954
har,tsne,-1.0
har,umap,86.55365120399983
har,isomap,-1.0
har,aep,81.73059489300067
fashionmnist,sharp,31.927932116001102
fashionmnist,ssnp,162.03050376600004
fashionmnist,tsne,-1.0
fashionmnist,umap,46.85348076199989
fashionmnist,isomap,157.31841021200125
fashionmnist,aep,90.56167843600088
usps,sharp,32.805818486000135
usps,ssnp,155.24580633799997
usps,tsne,-1.0
usps,umap,85.61121559999992
usps,isomap,-1.0
usps,aep,85.0756700589991
reuters,sharp,38.47589259100096
reuters,ssnp,142.0590131680001
reuters,tsne,-1.0
reuters,umap,120.77243932300007
reuters,isomap,-1.0
reuters,aep,96.44100634999995
mnist,sharp,33.33584394599893
mnist,ssnp,164.8681485750003
mnist,tsne,-1.0
mnist,umap,46.4907936719992
mnist,isomap,157.070875813999
mnist,aep,89.6906039759997
