dataset_name,test_name,exp,T_train,C_train,R_train,S_train,N_train,DSC_train,CC_train,MSE_train
har,ShaRP-AG,layer:triangle.use_bias:True,0.883,0.894,0.447,0.579,0.795,0.699,0.485,0.009
har,ShaRP-GT,layer:triangle.use_bias:False,0.826,0.830,0.444,0.579,0.966,0.929,0.285,0.009
har,ShaRP-KMeans,layer:triangle.use_bias:False,0.884,0.845,0.408,0.509,0.750,0.613,0.428,0.008
har,ShaRP-AG,layer:triangle.use_bias:False,0.874,0.836,0.481,0.493,0.771,0.669,0.514,0.008
reuters,ShaRP-GT,layer:diagonal_normal.kl_weight:0.01,0.566,0.705,0.392,0.876,0.982,0.975,0.742,0.001
reuters,ShaRP-KMeans,layer:diagonal_normal.kl_weight:0.01,0.590,0.777,0.070,0.894,0.703,0.566,0.314,0.001
reuters,ShaRP-AG,layer:diagonal_normal.kl_weight:0.01,0.590,0.745,0.120,0.888,0.745,0.649,0.285,0.001
reuters,ShaRP-GT,layer:diagonal_normal.kl_weight:0.1,0.552,0.675,0.215,0.659,0.958,0.878,0.542,0.001
reuters,ShaRP-KMeans,layer:diagonal_normal.kl_weight:0.1,0.588,0.774,0.123,0.680,0.710,0.593,0.057,0.001
reuters,ShaRP-AG,layer:diagonal_normal.kl_weight:0.1,0.584,0.743,0.186,0.676,0.730,0.617,0.2,0.001
reuters,ShaRP-GT,layer:generalized_normal.power:5,0.553,0.682,0.306,0.719,0.973,0.943,0.285,0.001
reuters,ShaRP-KMeans,layer:generalized_normal.power:5,0.587,0.765,0.055,0.703,0.715,0.602,0.171,0.001
reuters,ShaRP-AG,layer:generalized_normal.power:5,0.583,0.723,0.138,0.712,0.737,0.625,0.2,0.001
reuters,ShaRP-GT,layer:generalized_normal.power:15,0.554,0.701,0.326,0.710,0.974,0.849,0.2,0.001
reuters,ShaRP-KMeans,layer:generalized_normal.power:15,0.586,0.761,0.038,0.695,0.712,0.554,0.171,0.001
reuters,ShaRP-AG,layer:generalized_normal.power:15,0.586,0.735,0.171,0.683,0.736,0.614,0.457,0.001
reuters,ShaRP-GT,layer:triangle.use_bias:True,0.557,0.702,0.295,0.546,0.975,0.932,0.542,0.001
reuters,ShaRP-KMeans,layer:triangle.use_bias:True,0.591,0.750,-0.053,0.535,0.708,0.608,0.028,0.001
reuters,ShaRP-AG,layer:triangle.use_bias:True,0.588,0.716,0.214,0.547,0.737,0.616,0.457,0.001
reuters,ShaRP-GT,layer:triangle.use_bias:False,0.558,0.696,0.367,0.521,0.964,0.911,0.942,0.001
reuters,ShaRP-KMeans,layer:triangle.use_bias:False,0.584,0.719,-0.105,0.530,0.707,0.553,0.285,0.001
reuters,ShaRP-AG,layer:triangle.use_bias:False,0.585,0.723,0.184,0.547,0.736,0.593,0.771,0.001
usps,ShaRP-GT,layer:diagonal_normal.kl_weight:0.01,0.853,0.946,0.404,0.904,0.989,0.955,0.630,0.039
usps,ShaRP-KMeans,layer:diagonal_normal.kl_weight:0.01,0.874,0.946,0.582,0.888,0.789,0.726,0.921,0.036
usps,ShaRP-AG,layer:diagonal_normal.kl_weight:0.01,0.856,0.947,0.322,0.899,0.790,0.726,0.606,0.039
usps,ShaRP-GT,layer:diagonal_normal.kl_weight:0.1,0.804,0.922,0.346,0.774,0.972,0.944,0.533,0.042
usps,ShaRP-KMeans,layer:diagonal_normal.kl_weight:0.1,0.847,0.911,0.438,0.776,0.748,0.678,0.630,0.038
usps,ShaRP-AG,layer:diagonal_normal.kl_weight:0.1,0.823,0.923,0.367,0.759,0.771,0.696,0.739,0.040
usps,ShaRP-GT,layer:generalized_normal.power:5,0.801,0.914,0.318,0.779,0.978,0.936,0.454,0.043
usps,ShaRP-KMeans,layer:generalized_normal.power:5,0.846,0.908,0.389,0.796,0.749,0.709,0.678,0.039
usps,ShaRP-AG,layer:generalized_normal.power:5,0.819,0.919,0.364,0.803,0.764,0.672,0.654,0.042
usps,ShaRP-GT,layer:generalized_normal.power:15,0.810,0.927,0.355,0.790,0.953,0.934,0.296,0.043
usps,ShaRP-KMeans,layer:generalized_normal.power:15,0.854,0.915,0.507,0.773,0.751,0.707,0.866,0.038
usps,ShaRP-AG,layer:generalized_normal.power:15,0.825,0.926,0.382,0.796,0.778,0.703,0.521,0.041
usps,ShaRP-GT,layer:triangle.use_bias:True,0.814,0.904,0.286,0.630,0.973,0.903,0.363,0.043
usps,ShaRP-KMeans,layer:triangle.use_bias:True,0.842,0.885,0.338,0.631,0.747,0.652,0.642,0.040
usps,ShaRP-AG,layer:triangle.use_bias:True,0.820,0.898,0.265,0.646,0.765,0.667,0.490,0.042
usps,ShaRP-GT,layer:triangle.use_bias:False,0.796,0.830,0.071,0.529,0.948,0.801,0.375,0.044
usps,ShaRP-KMeans,layer:triangle.use_bias:False,0.825,0.824,0.115,0.507,0.745,0.598,0.315,0.041
usps,ShaRP-AG,layer:triangle.use_bias:False,0.809,0.835,0.150,0.529,0.753,0.606,0.496,0.043
