dataset,algorithm,time
har,sharp,5.408534960999532
har,ssnp,14.447226369000418
har,tsne,9.105527046001953
har,umap,26.471970016998966
har,isomap,8.622251359000074
har,aep,8.801413193999906
fashionmnist,sharp,4.466555520997645
fashionmnist,ssnp,14.410604371001682
fashionmnist,tsne,10.112943853000615
fashionmnist,umap,25.67172756799846
fashionmnist,isomap,9.135975736000546
fashionmnist,aep,8.431169818999479
usps,sharp,4.283414257999539
usps,ssnp,13.801777291999315
usps,tsne,8.53277007900033
usps,umap,25.105805799998052
usps,isomap,9.485384226998576
usps,aep,8.978993189000903
reuters,sharp,5.164618912000151
reuters,ssnp,14.332200234999618
reuters,tsne,40.30539900200165
reuters,umap,29.413952432998485
reuters,isomap,37.56482992000019
reuters,aep,11.350938718998805
mnist,sharp,4.326050945997849
mnist,ssnp,13.931162464999943
mnist,tsne,10.555119115000707
mnist,umap,27.74404291799874
mnist,isomap,9.839583317003417
mnist,aep,9.063442328002566
