dataset,algorithm,time
har,sharp,42.96922921500118
har,ssnp,208.5152052559988
har,tsne,-1.0
har,umap,106.98192346599899
har,isomap,-1.0
har,aep,113.57123730199964
fashionmnist,sharp,41.570729298000515
fashionmnist,ssnp,232.9996949319975
fashionmnist,tsne,-1.0
fashionmnist,umap,61.35007176900035
fashionmnist,isomap,-1.0
fashionmnist,aep,91.66830553300315
usps,sharp,43.92872520500168
usps,ssnp,217.19193172199812
usps,tsne,-1.0
usps,umap,113.20317203500235
usps,isomap,-1.0
usps,aep,113.28391483100131
reuters,sharp,51.50486251899929
reuters,ssnp,191.32931308900152
reuters,tsne,-1.0
reuters,umap,147.82012960999782
reuters,isomap,-1.0
reuters,aep,125.76816630200119
mnist,sharp,42.500084463998064
mnist,ssnp,236.76065822800228
mnist,tsne,-1.0
mnist,umap,61.207423086001654
mnist,isomap,-1.0
mnist,aep,95.54003475300124
