dataset,algorithm,time
har,sharp,13.6708506269988
har,ssnp,16.238077854999574
har,tsne,15.417714453000372
har,umap,22.847556978000284
har,isomap,18.64445866800088
har,aep,9.382719238999925
fashionmnist,sharp,17.45178506600132
fashionmnist,ssnp,23.21481056199991
fashionmnist,tsne,19.642054083999028
fashionmnist,umap,8.1036893720011
fashionmnist,isomap,42.37166047900064
fashionmnist,aep,13.922532575999867
usps,sharp,15.049658374999126
usps,ssnp,20.108240990000922
usps,tsne,14.150084621000133
usps,umap,6.532006842999181
usps,isomap,30.31297407799866
usps,aep,12.51946375099942
reuters,sharp,13.457591499000046
reuters,ssnp,17.273613012999704
reuters,tsne,75.60134362999997
reuters,umap,8.572241452999151
reuters,isomap,83.33542777599905
reuters,aep,11.555980178000027
mnist,sharp,17.460009009000714
mnist,ssnp,23.592762230999142
mnist,tsne,27.439135553999222
mnist,umap,8.056684316001338
mnist,isomap,47.38647805999972
mnist,aep,14.809656977000486
