dataset_name,test_name,T_train,C_train,R_train,S_train,N_train,MSE_train
mnist,ShaRP-GT,0.7361374337828939,0.8989402170489362,0.12548099237146046,0.8559178667253814,0.988,-99.0
mnist,ShaRP-KMeans,0.8587762162471724,0.9014311084385649,0.2616594191499031,0.8592992843305869,0.7268,-99.0
mnist,ShaRP-AG,0.819971949717951,0.9040264811155971,0.16407278073834958,0.8591041402762839,0.7836666666666666,-99.0
mnist,SSNP-GT,0.82501915642986,0.9245011482404146,0.3638191369087616,0.4864042324376235,0.9964,-99.0
mnist,SSNP-KMeans,0.892990447556052,0.9097536408670504,0.11413005762749671,0.5677197910814471,0.7631333333333333,-99.0
mnist,SSNP-AG,0.8675627867021733,0.9223797840964407,0.20845114595889183,0.49346164103926393,0.8230666666666666,-99.0
mnist,AE,0.9380058356956733,0.9105996162987143,-0.0803723049934516,6.8784866075294335,0.7889333333333333,-99.0
mnist,TSNE,0.9851763765999485,0.9721298399335682,0.4103736597182073,8.960688529452657,0.9446666666666667,-99.0
mnist,UMAP,0.9572924376485411,0.9739122755776995,0.3851058403838429,0.2359143585699471,0.9176,-99.0
mnist,NNP,0.9424199581937405,0.9700784468688257,0.4042500632149751,0.9156429006208564,0.8866,-99.0
fashionmnist,ShaRP-GT,0.8208076167568651,0.9045193711880423,0.46323314765443807,0.870627739867545,0.9025333333333334,-99.0
fashionmnist,ShaRP-KMeans,0.9424493199324228,0.960444452080291,0.738360827938212,0.8687860785328461,0.7189333333333333,-99.0
fashionmnist,ShaRP-AG,0.9288772041348109,0.9607748532485755,0.708287133344884,0.878213415850541,0.7237333333333333,-99.0
fashionmnist,SSNP-GT,0.8700505225782436,0.9138563181857229,0.3547509799646745,0.5578273253646202,0.974,-99.0
fashionmnist,SSNP-KMeans,0.9617593104830627,0.9791125161068637,0.7400455914971532,0.31301851487857635,0.7486666666666666,-99.0
fashionmnist,SSNP-AG,0.9494940640838416,0.9711917418320305,0.7157026792104784,0.3601469558097548,0.7490666666666667,-99.0
fashionmnist,AE,0.9696942645248118,0.9755964894195802,0.47327605519899124,0.5321667638361863,0.7599333333333333,-99.0
fashionmnist,TSNE,0.9902396644045471,0.9871910946940412,0.6638282722586024,5.351140120422803,0.8430666666666667,-99.0
fashionmnist,UMAP,0.9810097929731123,0.9880534776508318,0.6421534079655413,0.1746428900460266,0.8035333333333333,-99.0
fashionmnist,NNP,0.9686393723334192,0.9865976176158978,0.6695871701643767,0.9253903806006646,0.7762,-99.0
har,ShaRP-GT,0.8224053431835753,0.8817730435529594,0.5961347709561023,0.7481601156685999,0.9792666666666668,-99.0
har,ShaRP-KMeans,0.8975370271740687,0.9209556681842912,0.6258709862297748,0.7294127195712289,0.769,-99.0
har,ShaRP-AG,0.8883330011740114,0.9105121667668872,0.6062850169938043,0.7415036642939018,0.8108,-99.0
har,SSNP-GT,0.9080776680124846,0.9324050912006414,0.42800494995164756,0.5843495233653369,0.9973333333333334,-99.0
har,SSNP-KMeans,0.9300316868539358,0.9599978925063711,0.5204126109216576,0.289196015121635,0.8206666666666667,-99.0
har,SSNP-AG,0.9182215502677319,0.9618624803138333,0.48666609940032934,0.48221112694879803,0.8486,-99.0
har,AE,0.9534218652463993,0.9714331013944965,0.777350493961996,0.28076749516055494,0.8586666666666666,-99.0
har,TSNE,0.9920476190476191,0.9853938149643502,0.5781148406588574,48.56045339176635,0.9685333333333334,-99.0
har,UMAP,0.9788276952151878,0.9886164304326661,0.769535695830672,3.6087367141093534,0.9346,-99.0
har,NNP,0.9694002405291642,0.9848084700627094,0.5986583192354122,0.8483286103292267,0.9194,-99.0
reuters,ShaRP-GT,0.5541006270938923,0.7002738023652034,0.26345005957690343,0.67794299155704,0.9833333333333334,-99.0
reuters,ShaRP-KMeans,0.588320167225038,0.7655550210463018,0.05660812673224911,0.6861807692947781,0.6962,-99.0
reuters,ShaRP-AG,0.5859414769636057,0.7081207227328694,0.07077434802774275,0.6791662230068343,0.7397333333333334,-99.0
reuters,SSNP-GT,0.581661048592618,0.7469191421126478,0.28421105746443204,0.33622116795415313,0.9780666666666668,-99.0
reuters,SSNP-KMeans,0.6414327635082897,0.8322081264496177,0.37365634375240386,0.6256317956933223,0.7927333333333332,-99.0
reuters,SSNP-AG,0.6471729461959168,0.8087191421126478,0.14101592013400435,0.693475117160506,0.8011333333333333,-99.0
reuters,AE,0.6807851043724766,0.7394199295593162,0.041451477929194035,8.129112234643097,0.8475333333333334,-99.0
reuters,TSNE,0.7422299229733986,0.9118259599690748,0.020951228154071407,30.81581100696694,0.8458,-99.0
reuters,UMAP,0.662221836611975,0.8623307676889156,-0.10722471517337112,2.045088984390642,0.7588666666666666,-99.0
reuters,NNP,0.6949900982160754,0.9100843226526931,0.021190593075322086,0.8203034611408775,0.7999999999999999,-99.0
