dataset,algorithm,time
har,sharp,49.13009585099644
har,ssnp,70.3270282789963
har,tsne,190.06692355799896
har,umap,67.81216072499956
har,isomap,-1.0
har,aep,41.690603611998085
fashionmnist,sharp,52.58508208699641
fashionmnist,ssnp,73.49617464999756
fashionmnist,tsne,85.13906531899556
fashionmnist,umap,26.933288262000133
fashionmnist,isomap,-1.0
fashionmnist,aep,40.469329178995395
usps,sharp,48.46601447500143
usps,ssnp,72.40950800500286
usps,tsne,167.34478235799907
usps,umap,38.35030188499513
usps,isomap,-1.0
usps,aep,37.05164720999892
reuters,sharp,48.309493808003026
reuters,ssnp,63.6733156909977
reuters,tsne,-1.0
reuters,umap,44.884750509001606
reuters,isomap,-1.0
reuters,aep,43.70797298900288
mnist,sharp,49.91476621799666
mnist,ssnp,71.84790833199804
mnist,tsne,139.15610586899857
mnist,umap,25.682659613994474
mnist,isomap,-1.0
mnist,aep,38.298628361997544
