dataset,algorithm,time
har,sharp,21.784125858999687
har,ssnp,103.99538764600038
har,tsne,-1.0
har,umap,58.971047754999745
har,isomap,-1.0
har,aep,55.627013698000155
fashionmnist,sharp,24.153861095001048
fashionmnist,ssnp,115.97933961499984
fashionmnist,tsne,163.98607179900137
fashionmnist,umap,38.30749373099934
fashionmnist,isomap,-1.0
fashionmnist,aep,63.24452673700034
usps,sharp,24.267886352999994
usps,ssnp,117.02202597300129
usps,tsne,-1.0
usps,umap,56.407039839999925
usps,isomap,-1.0
usps,aep,61.582132383999124
reuters,sharp,26.08448581799894
reuters,ssnp,95.53867352400084
reuters,tsne,-1.0
reuters,umap,79.34220285599986
reuters,isomap,-1.0
reuters,aep,64.67313191799985
mnist,sharp,23.744104053001138
mnist,ssnp,111.6613212379998
mnist,tsne,287.74517759899936
mnist,umap,38.702375632999974
mnist,isomap,-1.0
mnist,aep,64.25255035800001
