dataset,algorithm,time
har,sharp,6.8214126560001205
har,ssnp,23.125999315000172
har,tsne,45.177862299000026
har,umap,24.437477596000008
har,isomap,35.25818830600019
har,aep,13.926348292000057
fashionmnist,sharp,6.036551471999701
fashionmnist,ssnp,22.83507427199993
fashionmnist,tsne,18.612205023000115
fashionmnist,umap,25.663310206000006
fashionmnist,isomap,41.063100976999976
fashionmnist,aep,14.069521118000011
usps,sharp,6.150348612000016
usps,ssnp,23.951619635000043
usps,tsne,36.78107287600005
usps,umap,24.658065122999687
usps,isomap,36.58917951400008
usps,aep,14.07647443399992
reuters,sharp,7.274661571999786
reuters,ssnp,22.81597274700016
reuters,tsne,169.3801033079999
reuters,umap,28.043851763999555
reuters,isomap,-1.0
reuters,aep,16.052590042999327
mnist,sharp,6.17814847200043
mnist,ssnp,24.09083724499942
mnist,tsne,25.941439077000723
mnist,umap,26.310849524999867
mnist,isomap,45.56841365499986
mnist,aep,14.101635228000305
