dataset,algorithm,time
har,sharp,8.005868405000001
har,ssnp,5.957341449000069
har,tsne,48.332976710000366
har,umap,29.874666826000066
har,isomap,35.56266824400018
har,aep,14.978142544000093
fashionmnist,sharp,6.288508233999892
fashionmnist,ssnp,6.098371034999673
fashionmnist,tsne,19.96304633999989
fashionmnist,umap,29.323573861000114
fashionmnist,isomap,41.9535103420003
fashionmnist,aep,14.695768457999748
usps,sharp,6.293782530000044
usps,ssnp,5.851327114000014
usps,tsne,37.009019027999784
usps,umap,28.419980484000007
usps,isomap,36.748952469000415
usps,aep,14.11667820699995
reuters,sharp,8.041302864000045
reuters,ssnp,7.364177694999853
reuters,tsne,178.20857210400027
reuters,umap,33.139125814999716
reuters,isomap,-1.0
reuters,aep,18.446516070000143
mnist,sharp,7.5285818060001475
mnist,ssnp,6.22099824299994
mnist,tsne,27.551125948999925
mnist,umap,29.78370220199986
mnist,isomap,44.78835868299984
mnist,aep,14.951507963999575
