dataset_name,test_name,spearman_corr_iso,p_value_iso,spearman_corr_lof,p_value_lof
mnist,ShaRP-GT,-0.18787878787878787,0.603217610029209,-0.10303030303030303,0.7769984634438898
mnist,ShaRP-KMeans,0.2121212121212121,0.5563057751029299,0.5393939393939393,0.1075931877824148
mnist,ShaRP-AG,-0.32121212121212117,0.3654683104386702,-0.32121212121212117,0.3654683104386702
mnist,SSNP-GT,0.6121212121212121,0.05997214247725524,0.5515151515151515,0.09840117666963498
mnist,TSNE,-0.07878787878787878,0.8287173946974606,0.22424242424242422,0.5334005612725947
mnist,UMAP,-0.24848484848484845,0.48877630451924314,0.12727272727272726,0.7260570147627894
mnist,AE,-0.6727272727272726,0.0330412225454377,-0.8909090909090909,0.0005421442248338665
fashionmnist,ShaRP-GT,0.1515151515151515,0.6760651759978538,0.3939393939393939,0.25999776683488757
fashionmnist,ShaRP-KMeans,0.7333333333333332,0.01580059625057158,0.5757575757575757,0.08155281477260236
fashionmnist,ShaRP-AG,0.6121212121212121,0.05997214247725524,0.5757575757575757,0.08155281477260236
fashionmnist,SSNP-GT,-0.24848484848484845,0.48877630451924314,-0.24848484848484845,0.48877630451924314
fashionmnist,TSNE,0.7818181818181817,0.007547007781067878,0.6,0.06668799999999996
fashionmnist,UMAP,0.8303030303030302,0.0029402270232795065,0.4787878787878787,0.1615229280174558
fashionmnist,AE,-0.6848484848484848,0.02888279750673276,-0.6484848484848483,0.04254012768448945
har,ShaRP-GT,0.5428571428571429,0.26570262390670557,0.7714285714285715,0.07239650145772594
har,ShaRP-KMeans,0.6,0.20799999999999982,0.4285714285714286,0.3965014577259474
har,ShaRP-AG,0.028571428571428574,0.9571545189504373,0.14285714285714288,0.7871720116618075
har,SSNP-GT,-0.8285714285714287,0.04156268221574334,-0.5428571428571429,0.26570262390670557
har,TSNE,-0.3142857142857143,0.5440932944606414,0.3142857142857143,0.5440932944606414
har,UMAP,-0.028571428571428574,0.9571545189504373,0.48571428571428577,0.3287230320699709
har,AE,-0.6,0.20799999999999982,-0.48571428571428577,0.3287230320699709
reuters,ShaRP-GT,-0.48571428571428577,0.3287230320699709,-0.4285714285714286,0.3965014577259474
reuters,ShaRP-KMeans,-0.14285714285714288,0.7871720116618075,-0.5428571428571429,0.26570262390670557
reuters,ShaRP-AG,0.028571428571428574,0.9571545189504373,-0.48571428571428577,0.3287230320699709
reuters,SSNP-GT,-0.08571428571428573,0.8717434402332361,-0.7142857142857143,0.1107871720116617
reuters,TSNE,-0.6,0.20799999999999982,-0.8285714285714287,0.04156268221574334
reuters,UMAP,0.028571428571428574,0.9571545189504373,-0.6571428571428573,0.15617492711370237
reuters,AE,-0.2571428571428572,0.6227871720116618,0.08571428571428573,0.8717434402332361
