dataset,algorithm,time
har,sharp,14.410836205000123
har,ssnp,68.95929101299953
har,tsne,176.57738150300065
har,umap,37.614901551
har,isomap,-1.0
har,aep,38.312113625000165
fashionmnist,sharp,15.213657184999647
fashionmnist,ssnp,69.23246250899956
fashionmnist,tsne,81.79602209899986
fashionmnist,umap,30.498439275999772
fashionmnist,isomap,-1.0
fashionmnist,aep,38.21027766499992
usps,sharp,14.657696874000067
usps,ssnp,69.31436858799952
usps,tsne,165.56184691999988
usps,umap,42.98626623900054
usps,isomap,-1.0
usps,aep,37.90179002200057
reuters,sharp,17.90849206799976
reuters,ssnp,62.30129068699989
reuters,tsne,-1.0
reuters,umap,50.56256185700022
reuters,isomap,-1.0
reuters,aep,45.08209300599992
mnist,sharp,15.072007588000815
mnist,ssnp,69.55885983999997
mnist,tsne,141.2073635859997
mnist,umap,29.21042765399943
mnist,isomap,-1.0
mnist,aep,38.74551020099989
