dataset,algorithm,time
har,sharp,148.3746585550034
har,ssnp,214.34626304600533
har,tsne,-1.0
har,umap,102.94470425399777
har,isomap,-1.0
har,aep,117.53969759000029
fashionmnist,sharp,158.9083446720033
fashionmnist,ssnp,238.83723247300077
fashionmnist,tsne,-1.0
fashionmnist,umap,57.51113547800196
fashionmnist,isomap,-1.0
fashionmnist,aep,85.06466592600191
usps,sharp,147.50002285800292
usps,ssnp,211.6653531789998
usps,tsne,-1.0
usps,umap,108.46056403900002
usps,isomap,-1.0
usps,aep,110.45170938099909
reuters,sharp,143.03325294699607
reuters,ssnp,189.44746075999865
reuters,tsne,-1.0
reuters,umap,144.32263811199664
reuters,isomap,-1.0
reuters,aep,133.09564601199963
mnist,sharp,159.14179665700067
mnist,ssnp,237.2509933600013
mnist,tsne,-1.0
mnist,umap,56.00037677599903
mnist,isomap,-1.0
mnist,aep,89.78594590199646
