dataset_name,test_name,T_train,C_train,R_train,S_train,N_train,DSC_train,CC_train,MSE_train,MSE_test
mnist,ShaRP-GT,0.7360330326718781,0.8995578444005383,0.2886855187348339,0.8572664011577201,0.9792666666666668,0.9578,0.17575757575757575,0.05449969321489334,0.054448649287223816
mnist,ShaRP-KMeans,0.8603275720871632,0.9044080176388054,0.13543785460385305,0.8591998869936753,0.7312666666666666,0.5938,-0.2121212121212121,0.05012234300374985,0.05116015300154686
mnist,ShaRP-AG,0.821529965925035,0.9104631560862468,0.16653208766022023,0.8585481263438322,0.7760666666666666,0.6692,-0.2727272727272727,0.052152782678604126,0.052659109234809875
mnist,SSNP-GT,0.7788963262033617,0.919622901812559,0.36154989710438906,0.5685199418923265,0.9926666666666668,0.9266,0.6,0.0522073395550251,0.05246131867170334
mnist,SSNP-KMeans,0.8808599146694156,0.9204380780574406,0.39181152029801164,0.32817282769021217,0.7566,0.464,-0.06666666666666665,0.04508667439222336,0.0464223176240921
mnist,SSNP-AG,0.8561548034246771,0.9240986914068092,0.21808727985850837,0.42029607260723395,0.8112,0.6382,-0.3939393939393939,0.0467640683054924,0.04810747876763344
mnist,AE,0.9117278584314062,0.913550073017782,-0.04795888308443209,3.0909729963231856,0.7408666666666666,0.4924,-0.6121212121212121,0.03958212211728096,0.04128221049904823
mnist,TSNE,0.9851763765999485,0.9721298399335682,0.4103736597182073,8.960688529452657,0.9446666666666667,0.7808,0.04242424242424241,-99.0,-99.0
mnist,UMAP,0.9572924376485411,0.9739122755776995,0.3851058403838429,0.2359143585699471,0.9176,0.8412,-0.34545454545454546,-99.0,-99.0
mnist,ISOMAP,0.7603036508890989,0.9594203476219111,0.5257981823560486,2.4670771273187664,0.6208666666666666,0.4896,0.5515151515151515,-99.0,-99.0
mnist,NNP,0.9405607880193568,0.9694174727257109,0.4074937555496996,0.9127318345724212,0.8793333333333332,0.7284,-0.006060606060606061,-99.0,-99.0
fashionmnist,ShaRP-GT,0.8216598860349913,0.9149273143773444,0.48208588494891325,0.8746259315561984,0.8546,0.8234,0.6242424242424242,0.04999289661645889,0.04974156990647316
fashionmnist,ShaRP-KMeans,0.9347630329582224,0.96110071872405,0.7309973085572583,0.8689388658128679,0.7071333333333334,0.6182,0.34545454545454546,0.03696224093437195,0.03797376900911331
fashionmnist,ShaRP-AG,0.9174274833204479,0.955846800103084,0.6983336072773706,0.8635964543718125,0.7108,0.6204,0.6969696969696969,0.03799929842352867,0.0387936607003212
fashionmnist,SSNP-GT,0.8651709074249062,0.931373347077857,0.38853482373137277,0.5385176762896414,0.9282666666666668,0.8656,-0.2727272727272727,0.044366735965013504,0.04491596296429634
