dataset_name,test_name,exp,T_train,C_train,R_train,S_train,N_train,DSC_train,CC_train,MSE_train
har,ShaRP-GT,layer:generalized_normal.power:15,0.8292961257623915,0.8856319617444092,0.5132037640725646,0.7676435385714302,0.928,0.9092,0.6857142857142857,0.009871137328445911
har,ShaRP-KMeans,layer:generalized_normal.power:15,0.898757157174355,0.9160790481917361,0.5921736110280756,0.7532713153667989,0.7537333333333333,0.6866,0.7142857142857143,0.008511231280863285
har,ShaRP-AG,layer:generalized_normal.power:15,0.8900296079947313,0.917544678292243,0.6138779347493482,0.7396386399286794,0.7915333333333333,0.6964,0.6,0.008644498884677887
har,ShaRP-GT,layer:triangle.use_bias:True,0.8276350313546946,0.8543580276608539,0.5631239040200443,0.6617804831686643,0.9782666666666668,0.9214,0.34285714285714286,0.009789525531232357
har,ShaRP-KMeans,layer:triangle.use_bias:True,0.9078235890387424,0.911045969704779,0.5694528775622111,0.7651308647941568,0.7634,0.7034,0.4857142857142857,0.007799490820616484
har,ShaRP-AG,layer:triangle.use_bias:True,0.899251948572574,0.9023693325315695,0.4499024033282242,0.7379241048309657,0.8182666666666667,0.7098,0.2,0.008264206349849701
har,ShaRP-GT,layer:triangle.use_bias:False,0.8295023337055809,0.8236753371703462,0.42625964510641345,0.7165727705559393,0.9798666666666668,0.9282,0.6857142857142857,0.009919053874909878
har,ShaRP-KMeans,layer:triangle.use_bias:False,0.8918857543739083,0.8422023136614838,0.44961855796409006,0.7102539489871869,0.7342,0.6124,0.5428571428571428,0.008701300248503685
har,ShaRP-AG,layer:triangle.use_bias:False,0.8910572803023795,0.8400402313661484,0.4440151569176174,0.7181556951930369,0.7973333333333333,0.6984,0.028571428571428525,0.008928378112614155
reuters,ShaRP-GT,layer:diagonal_normal.kl_weight:0.01,0.5617929845660453,0.6970841852074564,0.3805314519939133,0.8914854788787021,0.9828666666666668,0.9734,0.2571428571428571,0.001361982198432088
reuters,ShaRP-KMeans,layer:diagonal_normal.kl_weight:0.01,0.5896297454399679,0.7894589640065286,0.019995497205215512,0.899166059302283,0.698,0.6054,0.028571428571428525,0.0013001905754208565
reuters,ShaRP-AG,layer:diagonal_normal.kl_weight:0.01,0.5906242247229619,0.7793333963290668,0.24159364526646085,0.8838845755191331,0.7432,0.6478,0.6285714285714286,0.001302613876760006
reuters,ShaRP-GT,layer:diagonal_normal.kl_weight:0.1,0.5540705437677176,0.7007624946310455,0.10409613308063637,0.6764514911983243,0.9616,0.8512,0.08571428571428563,0.0013730376958847046
reuters,ShaRP-KMeans,layer:diagonal_normal.kl_weight:0.1,0.5871949660682072,0.7478859719955331,0.11061008834396721,0.6637357823014083,0.7039333333333333,0.5676,0.0,0.0013063285732641816
reuters,ShaRP-AG,layer:diagonal_normal.kl_weight:0.1,0.5816373049279844,0.7305694127079575,0.17222833857900166,0.6747202326237044,0.7350666666666666,0.5786,0.45714285714285713,0.0013210877077654004
reuters,ShaRP-GT,layer:generalized_normal.power:5,0.5563287002834808,0.6986849583369126,0.2996265373047622,0.7137855921358479,0.9752,0.9334,0.14285714285714285,0.0013704622397199273
reuters,ShaRP-KMeans,layer:generalized_normal.power:5,0.5833209518082638,0.7409281791369584,0.19299158691942067,0.7043346462025222,0.7008,0.6184,0.2,0.0013083340600132942
reuters,ShaRP-AG,layer:generalized_normal.power:5,0.5846247515963692,0.683676499727973,0.16829364123557164,0.7001876745071601,0.7336,0.594,0.2,0.0013280119746923447
reuters,ShaRP-GT,layer:generalized_normal.power:15,0.5584909142971681,0.7152161612690777,0.25601350729232897,0.7598324489281472,0.9770666666666666,0.9532,0.4857142857142857,0.0013751288643106818
reuters,ShaRP-KMeans,layer:generalized_normal.power:15,0.5833783924634195,0.7245834664834063,0.19103557302784613,0.7206787015357126,0.6978,0.5718,0.37142857142857144,0.0013143551768735051
reuters,ShaRP-AG,layer:generalized_normal.power:15,0.5865186667812043,0.7439831686853936,0.11790052098968501,0.7029031945899546,0.7370666666666666,0.6372,0.34285714285714286,0.0013259464176371694
